date,state,district,pincode,age_0_5,age_5_17,age_18_greater,clean_0_5,clean_5_17,clean_18_plus,mbu_due_5,mbu_due_15,total_pending_mbu,demand_score
01-09-2025,Bihar,Araria,854318,30,19,0,30,19,0,4.0,2.0,6.0,2.03
01-09-2025,Bihar,Araria,854329,21,2,0,21,2,0,3.0,0.0,3.0,0.96
01-09-2025,Bihar,Araria,854333,17,3,0,17,3,0,3.0,0.0,3.0,0.85
01-09-2025,Bihar,Araria,854334,5,10,0,5,10,0,1.0,1.0,2.0,0.63
01-09-2025,Bihar,Arwal,804401,1,11,0,1,11,0,0.0,1.0,1.0,0.48
01-09-2025,Bihar,Arwal,804421,2,10,0,2,10,0,0.0,1.0,1.0,0.48
01-09-2025,Bihar,Aurangabad,824121,1,10,0,1,10,0,0.0,1.0,1.0,0.44
01-09-2025,Bihar,Aurangabad,824122,1,5,0,1,5,0,0.0,0.0,0.0,0.22
01-09-2025,Bihar,Aurangabad,824303,0,3,0,0,3,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Banka,813104,5,8,0,5,8,0,1.0,1.0,2.0,0.55
01-09-2025,Bihar,Begusarai,851115,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Begusarai,851126,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Begusarai,851127,7,4,0,7,4,0,1.0,0.0,1.0,0.44
01-09-2025,Bihar,Begusarai,851133,8,11,0,8,11,0,1.0,1.0,2.0,0.78
01-09-2025,Bihar,Begusarai,851204,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Bhagalpur,812004,5,4,0,5,4,0,1.0,0.0,1.0,0.37
01-09-2025,Bihar,Bhagalpur,813113,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Bhagalpur,813204,3,12,0,3,12,0,0.0,1.0,1.0,0.59
01-09-2025,Bihar,Bhagalpur,813209,4,10,0,4,10,0,1.0,1.0,2.0,0.59
01-09-2025,Bihar,Bhagalpur,813210,7,9,0,7,9,0,1.0,1.0,2.0,0.67
01-09-2025,Bihar,Bhagalpur,813231,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Bhagalpur,853202,6,4,0,6,4,0,1.0,0.0,1.0,0.41
01-09-2025,Bihar,Bhagalpur,853203,7,4,0,7,4,0,1.0,0.0,1.0,0.44
01-09-2025,Bihar,Bhojpur,802155,2,5,0,2,5,0,0.0,0.0,0.0,0.26
01-09-2025,Bihar,Bhojpur,802156,1,7,0,1,7,0,0.0,1.0,1.0,0.33
01-09-2025,Bihar,Bhojpur,802161,4,15,0,4,15,0,1.0,2.0,3.0,0.81
01-09-2025,Bihar,Bhojpur,802162,1,3,0,1,3,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Bhojpur,802164,1,3,0,1,3,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Bhojpur,802202,1,0,0,1,0,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Bhojpur,802210,1,2,0,1,2,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Bhojpur,802223,2,8,0,2,8,0,0.0,1.0,1.0,0.41
01-09-2025,Bihar,Bhojpur,802316,1,0,0,1,0,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Buxar,802118,2,1,0,2,1,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Buxar,802123,4,7,0,4,7,0,1.0,1.0,2.0,0.48
01-09-2025,Bihar,Buxar,802125,1,3,0,1,3,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Buxar,802130,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Buxar,802134,0,6,0,0,6,0,0.0,1.0,1.0,0.26
01-09-2025,Bihar,Buxar,802135,0,2,0,0,2,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Darbhanga,846002,1,2,0,1,2,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Darbhanga,846005,3,1,0,3,1,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Darbhanga,846009,4,5,0,4,5,0,1.0,0.0,1.0,0.37
01-09-2025,Bihar,Darbhanga,847115,6,1,0,6,1,0,1.0,0.0,1.0,0.3
01-09-2025,Bihar,Darbhanga,847123,2,0,0,2,0,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Darbhanga,847233,1,0,0,1,0,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Darbhanga,847239,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Darbhanga,847405,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,East Champaran,845416,3,2,0,3,2,0,0.0,0.0,0.0,0.18
01-09-2025,Bihar,East Champaran,845418,7,9,0,7,9,0,1.0,1.0,2.0,0.67
01-09-2025,Bihar,East Champaran,845428,6,2,0,6,2,0,1.0,0.0,1.0,0.33
01-09-2025,Bihar,East Champaran,845432,5,1,0,5,1,0,1.0,0.0,1.0,0.26
01-09-2025,Bihar,East Champaran,845456,1,3,0,1,3,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Gaya,804424,0,2,0,0,2,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Gaya,823002,2,16,0,2,16,0,0.0,2.0,2.0,0.74
01-09-2025,Bihar,Gaya,824205,1,9,0,1,9,0,0.0,1.0,1.0,0.41
01-09-2025,Bihar,Gaya,824206,7,6,0,7,6,0,1.0,1.0,2.0,0.55
01-09-2025,Bihar,Gaya,824231,3,12,0,3,12,0,0.0,1.0,1.0,0.59
01-09-2025,Bihar,Gaya,824235,1,20,0,1,20,0,0.0,2.0,2.0,0.85
01-09-2025,Bihar,Gaya,824236,0,9,0,0,9,0,0.0,1.0,1.0,0.37
01-09-2025,Bihar,Gopalganj,841407,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Gopalganj,841409,3,8,0,3,8,0,0.0,1.0,1.0,0.44
01-09-2025,Bihar,Gopalganj,841420,4,0,0,4,0,0,1.0,0.0,1.0,0.18
01-09-2025,Bihar,Gopalganj,841426,4,17,0,4,17,0,1.0,2.0,3.0,0.89
01-09-2025,Bihar,Gopalganj,841438,3,11,0,3,11,0,0.0,1.0,1.0,0.55
01-09-2025,Bihar,Gopalganj,841440,2,1,0,2,1,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Gopalganj,841501,2,2,0,2,2,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Gopalganj,841505,2,8,0,2,8,0,0.0,1.0,1.0,0.41
01-09-2025,Bihar,Jamui,811313,4,4,0,4,4,0,1.0,0.0,1.0,0.33
01-09-2025,Bihar,Jamui,811315,2,9,0,2,9,0,0.0,1.0,1.0,0.44
01-09-2025,Bihar,Jamui,811316,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Jamui,811317,5,13,0,5,13,0,1.0,1.0,2.0,0.74
