school_id,school_name,latitude,longitude,category,total_students,age_15_cohort,female_students,male_students,saturation_rate,female_saturation,male_saturation,gender_parity_index,equity_risk,backlog_students,access_risk_score,zone_label,priority_score,status
SCH-10000,"Model Govt School, Ramanagara Block-3",13.03727,77.730286,urban,206,19,104,102,0.661,0.884,0.801,1.104,False,7,24.9,Accessible,0.158,NORMAL
SCH-10001,"Govt High School, Ramanagara Block-4",13.041231,77.743292,urban,604,48,308,296,0.52,0.655,0.653,1.003,False,24,27.2,Accessible,0.26,CRITICAL
SCH-10002,"Govt Primary School, Nelamangala Block-1",12.942427,77.737834,rural,655,64,353,302,0.657,0.656,0.443,1.481,False,22,24.6,Accessible,0.218,CRITICAL
SCH-10003,"Model Govt School, Nelamangala Block-3",12.857818,77.519361,rural,228,19,102,126,0.562,0.69,0.318,2.0,False,9,28.6,Accessible,0.195,NORMAL
SCH-10004,"Zilla Parishad School, Nelamangala Block-4",13.145649,77.459889,urban,646,57,298,348,0.709,0.957,0.395,2.0,False,17,19.4,Accessible,0.175,NORMAL
SCH-10005,"Govt Primary School, Hoskote Block-7",13.321427,77.589546,urban,342,28,185,157,0.615,0.813,0.77,1.057,False,11,28.4,Accessible,0.192,NORMAL
SCH-10006,"Govt Primary School, Hoskote Block-1",12.932328,77.563636,rural,417,35,192,225,0.677,0.347,0.797,0.435,True,12,13.2,Accessible,0.296,NORMAL
SCH-10007,"Model Govt School, Devanahalli Block-9",13.338307,77.514415,urban,324,30,167,157,0.197,0.82,0.77,1.065,False,25,26.3,Accessible,0.326,CRITICAL
SCH-10008,"Model Govt School, Magadi Block-1",13.01039,77.424607,rural,448,43,216,232,0.764,0.744,0.735,1.013,False,11,46.4,Accessible,0.207,NORMAL
SCH-10009,"Model Govt School, Ramanagara Block-9",12.970926,77.387241,rural,751,68,404,347,0.448,0.393,0.52,0.756,True,38,52.0,Moderate Access,0.542,CRITICAL
SCH-10010,"Govt High School, Nelamangala Block-3",13.181751,77.352025,rural,437,39,216,221,0.8,0.737,0.799,0.922,False,8,25.9,Accessible,0.137,NORMAL
SCH-10011,"Model Govt School, Devanahalli Block-4",13.296023,77.602455,urban,325,28,167,158,0.839,0.78,0.664,1.174,False,5,22.8,Accessible,0.109,NORMAL
SCH-10012,"Govt Primary School, Doddaballapur Block-7",12.997224,77.504039,urban,260,22,121,139,0.457,0.761,0.427,1.78,False,12,29.5,Accessible,0.23,NORMAL
SCH-10013,"Zilla Parishad School, Ramanagara Block-6",13.05989,77.452483,urban,507,49,254,253,0.744,0.854,0.854,1.001,False,13,37.8,Accessible,0.198,NORMAL
SCH-10014,"Govt High School, Magadi Block-3",13.145417,77.3622,rural,791,63,379,412,0.509,0.418,0.71,0.589,True,31,28.7,Accessible,0.444,CRITICAL
SCH-10015,"Govt Primary School, Ramanagara Block-7",13.247593,77.458333,urban,703,66,333,370,0.79,0.674,0.767,0.88,True,14,3.3,Accessible,0.256,NORMAL
SCH-10016,"Zilla Parishad School, Doddaballapur Block-3",12.873858,77.576415,rural,534,50,241,293,0.707,0.772,0.813,0.95,False,15,17.2,Accessible,0.162,NORMAL
SCH-10017,"Govt Primary School, Nelamangala Block-2",13.101568,77.692596,urban,424,39,216,208,0.632,0.588,0.766,0.767,True,15,15.1,Accessible,0.321,NORMAL
SCH-10018,"Model Govt School, Magadi Block-2",12.869482,77.597302,rural,189,16,101,88,0.624,0.582,0.738,0.788,True,7,15.8,Accessible,0.293,NORMAL
SCH-10019,"Model Govt School, Devanahalli Block-7",12.975008,77.582218,urban,762,75,408,354,0.884,0.596,0.579,1.029,False,9,12.7,Accessible,0.091,NORMAL
SCH-10020,"Zilla Parishad School, Nelamangala Block-2",13.3284,77.620708,urban,663,60,340,323,0.605,0.709,0.667,1.063,False,24,30.5,Accessible,0.251,CRITICAL
SCH-10021,"Model Govt School, Hoskote Block-6",13.334326,77.625212,urban,591,57,315,276,0.643,0.894,0.787,1.136,False,21,31.9,Accessible,0.235,CRITICAL
SCH-10022,"Govt High School, Nelamangala Block-6",13.202542,77.44949,urban,630,51,314,316,0.778,0.869,0.664,1.309,False,12,7.1,Accessible,0.11,NORMAL
SCH-10023,"Govt Primary School, Hoskote Block-8",13.251055,77.74116,urban,272,21,146,126,0.754,0.663,0.928,0.715,True,6,14.6,Accessible,0.26,NORMAL
SCH-10024,"Govt High School, Hoskote Block-5",13.047261,77.392702,rural,472,40,221,251,0.483,0.425,0.472,0.899,True,21,43.7,Accessible,0.447,CRITICAL
SCH-10025,"Govt Primary School, Ramanagara Block-1",13.156708,77.517297,urban,341,31,159,182,0.879,0.899,0.647,1.389,False,4,18.6,Accessible,0.087,NORMAL
